chrom1	coord1	chrom2	coord2
1	11481722	1	11483797
1	11598243	1	42091889
1	11648578	1	19721640
1	11806558	1	28848363
1	11885972	1	61794219
1	11978717	1	15902131
1	11991452	1	49301220
1	12182250	1	12184203
1	12235868	1	17408066
1	12275161	1	56819216
1	12324621	1	62370834
1	12364615	1	12373053
1	12516401	1	12815306
1	12600459	1	32590383
1	12625386	1	12717295
1	12877707	1	12878231
1	12886005	1	28059239
1	13108405	1	28594606
1	13119958	1	18431167
1	13129753	1	17697555
1	13131784	1	16588683
1	13170641	1	13172375
1	13195612	1	13368783
1	13196487	1	20408978
1	13204769	1	20420092
1	13206367	1	174073912
1	13354372	1	13360229
1	13405303	1	60043582
1	13408137	1	16190790
1	13456780	1	13529921
1	13647429	1	17695810
1	13656967	1	27043568
1	13661295	1	16632339
1	13842525	1	27145759
1	13851375	19	42519993
1	14102167	1	14250542
1	14128576	1	15567469
1	14211224	1	18715072
1	14474649	1	57512648
1	14519091	1	15552552
1	14628724	1	14650224
1	14698736	1	18626996
1	14802370	1	24959373
1	14921323	1	15007505
1	14953219	1	20002833
1	15173176	1	32639393
1	15216373	1	51011644
1	15305417	1	64945552
1	15310018	1	45833939
1	15348287	1	20355713
1	15359643	1	15364242
1	15439967	1	37270610
1	15551333	1	15725736
1	15609467	1	41814329
1	15668911	1	73626032
1	15692392	1	18223372
1	15759828	1	16202994
1	15878483	1	21278883
1	15913145	1	90181670
1	15953693	1	42714018
1	15970276	1	15974900
1	16047612	1	16050615
1	16141110	1	16256665
1	16161219	1	16173438
1	16225064	1	61436363
1	16363506	1	16679383
1	16382927	1	16781683
1	16437781	1	23082715
1	16588683	1	16592055
1	16608200	19	59205824
1	16617364	1	16812251
1	16688202	2	153047210
1	16902000	1	57006312
1	16992591	1	28809736
1	17050432	1	17053435
1	17071781	1	20571673
1	17086008	1	28562315
1	17354375	1	19686175
1	17359197	1	17999195
1	17398109	19	16720075
1	17399164	19	14997533
1	17423301	19	19675787
1	17478405	1	75787986
1	17558147	1	17611337
1	17566662	1	18025362
1	17636015	1	29600994
1	17684025	1	17687104
1	17735456	1	29813875
1	17878423	1	59585589
1	17940753	19	17274221
1	18001754	19	58861124
1	18007217	19	58859001
1	18025362	1	18032770
1	18040943	1	18648007
1	18108629	1	26641727
1	18118405	1	58788681
1	18223372	1	18234494
1	18229583	1	18875210
1	18481415	1	76510007
1	18593435	1	29385193
1	18690010	1	90113393
1	18704795	1	18944323
1	18783846	1	35512865
1	18817010	1	56481634
1	18906131	1	50168485
1	18916392	1	54404235
1	19127720	1	35280808
1	19160500	1	37803393
1	19234378	1	21390623
1	19316331	1	73392266
1	19377651	1	19500559
1	19403554	1	35504014
1	19411783	1	19412825
1	19433760	1	19475787
1	19659255	1	41099730
1	19749056	1	77900007
1	19802479	1	19821802
1	19837720	1	49326866
1	19918384	1	47600481
1	20191604	1	29840453
1	20315582	1	28648326
1	20324474	1	20325951
1	20392889	1	23354825
1	20449200	1	22016263
1	20606796	1	65026015
1	20718738	1	34053069
1	20817580	1	41062856
1	20834537	1	35332302
1	20835626	1	20847423
1	20835626	1	48717584
1	20914563	1	51019825
1	20925630	1	42896492
1	20937050	1	21073513
1	20966659	1	42673281
1	21073513	1	71974996
1	21278433	1	59077089
1	21306718	1	21309100
1	21390623	1	49293386
1	21398623	1	41953420
1	21429553	1	49165412
1	21461851	1	58850857
1	21550149	1	23726415
1	21590019	1	24762352
1	21642486	1	37309210
1	21651203	1	32221595
1	21721426	1	21795200
1	21758529	1	22511463
1	22039654	1	65295023
1	22122722	1	64598725
1	22212458	1	22547530
1	22244529	1	90197947
1	22386639	1	51176042
1	22828435	1	55502463
1	22900007	1	55488852
1	22903004	1	22904302
1	23016768	1	34601937
1	23092566	1	24666474
1	23107234	1	32332643
1	23134894	1	32596192
1	23159495	1	24255705
1	23196072	1	23565017
1	23370440	1	23520424
1	23388660	1	36989631
1	23633772	1	24265275
1	23668794	1	32290001
1	23849898	1	24260631
1	23881909	4	41055445
1	23902520	1	24060711
1	24008456	9	46670703
1	24031696	1	24061527
1	24103369	1	24130323
1	24111552	1	24134022
1	24138928	1	53298087
1	24172711	1	65024259
1	24247533	1	48098204
1	24268620	1	33095239
1	24359701	1	24364607
1	24467736	1	29246550
1	24737622	4	59240499
1	24988850	1	25098250
1	25014115	1	26746433
1	25121351	1	47892896
1	25142078	1	25152659
1	25184861	1	25377645
1	25453590	1	26090702
1	25548702	1	25715096
1	25639822	1	59249115
1	25642117	11	8576312
1	25676322	11	13358605
1	25832544	1	25835963
1	25912968	1	177543673
1	25917843	1	32877022
1	25996533	1	32798638
1	26106815	1	69010888
1	26191680	1	90760971
1	26197792	1	26237348
1	26340222	1	38805870
1	26367462	1	55263762
1	26533922	1	73506318
1	26682552	1	47951222
1	26744288	4	44913554
1	26870850	1	26995313
1	26915210	1	26953512
1	27123711	1	44620525
1	27192339	1	32251364
1	27384462	1	56788366
1	27419447	1	56803705
1	27469486	1	54062366
1	27507771	1	73604529
1	27556370	1	45775091
1	27647297	1	75944572
1	27723176	1	70783522
1	27897639	1	68132446
1	27926466	1	82974614
1	28066009	1	28067406
1	28196745	1	32243801
1	28271176	1	28277847
1	28300836	1	28378680
1	28322943	1	28650663
1	28503607	X	58886920
1	28562315	1	29852212
1	28751109	15	63173959
1	28884271	1	28889975
1	28922417	1	28975349
1	28933265	1	35694364
1	28994728	1	44710973
1	28999163	1	53738189
1	29040643	1	46521854
1	29343495	1	29351772
1	29580103	1	59657676
1	29650425	1	58973225
1	29837575	1	90116398
1	30161527	1	34091152
1	30330117	1	179257226
1	30534914	1	90134368
1	30579550	1	31260092
1	30711829	1	57939371
1	30983463	1	31004418
1	31022721	1	57745814
1	31146750	1	31154536
1	31278940	1	62317064
1	31475102	1	58859160
1	31477178	1	58901442
1	31626075	1	31645921
1	31661564	1	50137431
1	31689895	1	31692116
1	31710906	1	81652230
1	31740089	1	44936586
1	31774445	1	31775889
1	31797084	1	66614838
1	31900468	1	66287747
1	32035047	1	67198598
1	32082513	1	32259558
1	32298154	1	32302499
1	32447310	1	55322373
1	32622651	1	50268553
1	32649383	1	50314570
1	32717958	1	32957437
1	32717958	1	33042590
1	32805100	1	58290601
1	32841396	1	59500958
1	32854555	1	32866099
1	32877022	1	54313502
1	33016213	1	55845792
1	33049938	1	33291841
1	33077380	9	46156429
1	33116806	1	33124432
1	33229992	1	33243738
1	33257546	1	33412185
1	33306491	1	33332728
1	33428112	1	33453661
1	33450426	1	72708725
1	33513412	1	72993281
1	33576190	15	28300357
1	33666112	1	62636862
1	33669468	15	54816753
1	33746513	1	44901270
1	33936064	15	34033243
1	34102428	1	59585590
1	34135325	1	52894364
1	34173934	1	34941343
1	34241999	1	71678515
1	34263770	1	40760262
1	34306258	1	63383201
1	34343904	1	34418177
1	34343903	1	61525547
1	34393324	1	71711707
1	34402467	1	34459097
1	34428424	1	78669321
1	34469811	1	61072443
1	34567625	1	67896266
1	34688607	1	71621636
1	34716897	1	40739370
1	34754366	1	61394980
1	34815977	1	34882265
1	34935320	1	34958985
1	34997718	1	35659833
1	35049721	1	44501561
1	35127836	1	73441533
1	35148498	1	35154441
1	35154441	1	63913705
1	35163273	1	35982164
1	35163272	1	35173900
1	35188061	1	35603700
1	35192430	1	54058102
1	35412670	1	56797595
1	35425129	1	35437492
1	35444117	1	57230737
1	35612471	1	64450390
1	35694364	1	64461119
1	35707456	1	50564005
1	35875022	1	96867909
1	35909961	1	97258439
1	35910519	1	35915598
1	35933685	1	80102971
1	35964016	1	42731023
1	36061712	1	71706951
1	36074611	1	38731719
1	36105102	1	59023014
1	36171472	1	38747255
1	36256955	1	38652730
1	36371349	1	80553060
1	36478818	1	36484800
1	36493698	1	40880291
1	36495735	1	64606166
1	36557930	1	64288845
1	36583489	1	64517183
1	36720561	1	65161442
1	36813971	1	96020987
1	36908048	1	36936847
1	36910112	1	64137923
1	36933799	1	40684641
1	36933798	1	36934918
1	37002154	1	80959965
1	37172159	1	39949980
1	37227948	1	55763759
1	37493062	1	37649550
1	37569064	1	37696703
1	37890716	1	63048670
1	37906281	1	48625116
1	37930163	1	64008406
1	38032369	9	108238438
1	38039543	2	156838076
1	38080148	1	38090641
1	38172559	9	96927433
1	38200984	9	96920872
1	38241041	1	92161647
1	38241893	9	118155215
1	38248862	1	48347850
1	38276750	1	55045622
1	38279153	1	71621636
1	38305991	9	118465389
1	38339717	1	71706112
1	38359304	9	97059324
1	38386801	1	48303703
1	38414366	1	41410991
1	38497767	1	88533763
1	38546767	1	38684835
1	38562854	1	71776486
1	38599351	1	38622650
1	38635964	1	48474144
1	38666883	1	69456193
1	38729054	1	71711074
1	38767621	1	38773650
1	38848165	1	74100577
1	38972216	1	88568547
1	38983490	1	39483956
1	38990232	1	89099482
1	39021199	15	68035362
1	39042907	1	39659487
1	39049019	1	74518760
1	39083840	1	39393802
1	39102347	1	90551432
1	39197349	1	39202205
1	39258127	1	89784165
1	39288494	1	41861634
1	39321081	1	39358128
1	39343324	1	72320246
1	39391457	2	150433196
1	39447404	1	39454920
1	39484161	1	68636262
1	39490766	1	79820263
1	39497549	1	79815912
1	39537960	1	43179638
1	39560852	1	40062513
1	39643971	1	41393712
1	39649707	1	39740286
1	39700352	1	65156218
1	39715364	1	42024421
1	39740285	1	40031569
1	40113990	1	40873563
1	40194600	1	72748981
1	40297272	15	100806102
1	40311339	1	40436645
1	40373143	16	21418129
1	40373724	15	99764412
1	40391326	1	43315772
1	40464784	1	43206144
1	40484296	1	53261030
1	40560658	1	40571326
1	40701340	1	82277903
1	40832462	1	64554928
1	40968055	1	74605037
1	40985094	1	74005020
1	41025688	1	74202905
1	41058379	1	71372512
1	41125782	1	72608249
1	41142100	1	47780326
1	41171955	1	77923072
1	41366523	1	73765470
1	41425950	1	73764344
1	41482093	1	41483716
1	41488296	1	73277791
1	41553253	1	41582530
1	41557034	1	41584628
1	41607521	1	41683763
1	41734411	1	42050616
1	41739282	1	42056529
1	41843648	1	50814032
1	41847251	1	50680706
1	41888126	1	74017729
1	42000470	1	73332206
1	42021888	1	73126119
1	42084466	1	65123299
1	42282414	1	47514745
1	42313251	1	47664282
1	42438334	1	63622467
1	42442225	1	49528718
1	42442224	1	52812476
1	42621754	1	73500379
1	42637971	1	73494615
1	42707045	15	7272446
1	42770297	1	49448791
1	42977652	1	57032297
1	43036701	15	28316732
1	43065899	15	28234303
1	43086465	1	44072377
1	43113132	1	64843281
1	43139447	15	54815090
1	43206144	1	61529376
1	43304069	1	61564564
1	43340116	2	154351673
1	43344686	1	43431458
1	43353696	1	52331371
1	43541528	1	62755552
1	43568558	7	146777119
1	43614707	1	61278076
1	43674527	1	44300010
1	43703314	1	43834296
1	43738998	2	154368791
1	43769675	1	62081822
1	43774878	1	88945126
1	43808806	1	74524417
1	43863224	15	77936988
1	43870991	2	154372146
1	43881678	1	44025284
1	43886045	1	43918250
1	43918249	1	74507817
1	43952254	2	152244658
1	44006625	1	44027853
1	44010246	1	52241032
1	44072376	1	62278596
1	44161224	1	55151464
1	44176163	1	68335767
1	44176862	1	68067275
1	44218734	1	62739871
1	44229699	1	67988948
1	44420158	1	66672164
1	44463388	1	57441268
1	44646882	1	84281013
1	44695825	1	91053939
1	44797597	1	84704008
1	44986757	1	68407734
1	45124817	1	91374119
1	45327270	1	50726764
1	45447903	1	45491986
1	45448336	7	141190532
1	45499626	1	66376886
1	45560665	1	51176687
1	45657692	1	65681060
1	45797069	1	45809357
1	45797069	1	47729172
1	45906714	1	52107471
1	45922237	1	52748354
1	45938078	1	45949214
1	45953878	1	47020147
1	46062962	1	46074854
1	46080699	1	46081229
1	46101152	1	47113308
1	46270684	1	67622452
1	46359949	1	66784103
1	46433518	15	20495229
1	46882077	1	46885858
1	46974694	1	51670488
1	47208362	1	75954088
1	47243954	15	13164357
1	47316373	1	79807043
1	47316372	1	121992570
1	47346494	1	47348832
1	47368345	1	47402968
1	47394151	1	47551757
1	47399092	1	57111227
1	47452905	1	68436236
1	47495350	1	73812547
1	47655084	1	53032353
1	47658755	1	52931525
1	47698580	1	72012421
1	47827255	1	51351331
1	47849435	1	51656479
1	47911282	1	89550548
1	47958856	1	69097810
1	48077978	1	90083603
1	48079984	1	48110412
1	48100447	2	138025925
1	48175654	1	69091737
1	48196290	1	49062991
1	48204992	1	89602318
1	48531649	1	55134347
1	48583957	1	88562777
1	48593214	1	88609729
1	48624206	1	114482356
1	48646437	1	123630688
1	48657400	1	62750977
1	48783212	1	63291777
1	48810851	1	66569188
1	48829373	1	48835937
1	48971190	16	14399843
1	49242096	16	13677432
1	49294424	1	100716347
1	49364655	1	78228905
1	49590510	1	62880883
1	49626693	1	49645578
1	49807191	1	49905892
1	49829347	1	92845980
1	49946868	1	121196729
1	49972679	1	96954954
1	50190719	1	66675346
1	50262894	1	90123104
1	50383434	1	92617185
1	50407662	1	91472885
1	51030896	7	149088904
1	51111814	1	54609914
1	51112385	1	51144049
1	51124951	1	75907049
1	51127180	1	75937002
1	51240962	1	51252429
1	51242201	1	55937347
1	51277372	1	51278247
1	51410626	1	53794855
1	51430902	1	53801962
1	51434509	1	51848283
1	51480132	1	53329298
1	51481107	1	51610874
1	51540509	1	51673547
1	51559795	1	59292261
1	51778662	1	75932982
1	51802954	1	57594604
1	51828493	1	51883512
1	51899018	1	88043309
1	51900956	1	91192801
1	51977126	16	32333684
1	52013174	1	88381489
1	52049692	1	52416121
1	52062291	1	52140167
1	52254348	16	32439486
1	52272817	16	32237781
1	52509852	1	87970530
1	52608558	1	52851202
1	52614879	1	52699853
1	52719602	1	52818367
1	52805755	1	52808807
1	52857928	1	53007696
1	52915004	1	53021908
1	52936353	1	89465390
1	53075297	1	57376164
1	53093792	1	72709753
1	53105229	1	53122061
1	53119903	1	71341943
1	53149897	1	53257952
1	53336878	1	55924431
1	53399018	1	89007420
1	53434278	1	57069561
1	53727717	1	54205825
1	53727717	1	78130423
1	53743582	1	67115442
1	53769373	16	18099275
1	53799086	1	53815201
1	53824424	7	133288785
1	53899042	16	13660645
1	53900353	16	17862777
1	53909328	1	53913846
1	53938674	1	54424509
1	53995086	1	54300878
1	54058102	1	75944572
1	54058101	1	57588710
1	54062367	1	54495148
1	54130182	1	54392677
1	54180423	1	54192295
1	54506521	1	95116717
1	54543943	9	95802130
1	54568604	1	91483062
1	54577286	1	68882675
1	54605263	1	54646748
1	54803401	1	54821323
1	54813163	9	45350601
1	54825842	1	54999247
1	54999997	1	55052297
1	55049504	1	84815149
1	55149539	1	67926633
1	55174016	1	71607303
1	55268796	1	64026880
1	55336755	1	64071439
1	55348616	1	64036720
1	55459463	1	55940104
1	55487895	1	81352176
1	55488852	1	55489360
1	55546255	1	75701793
1	55656035	1	80059340
1	55947045	1	81239881
1	55958702	1	66138115
1	56005063	1	91345926
1	56014626	1	91829209
1	56042490	1	66787782
1	56113545	1	57608170
1	56258645	1	57687620
1	56304733	1	91886654
1	56412717	1	56413935
1	56545903	1	70777953
1	56557252	1	56633298
1	56570920	1	73909489
1	56577085	1	83119472
1	56628869	1	70647176
1	56650923	1	77867751
1	56651910	1	82962696
1	56691216	1	57212022
1	56738154	1	57279735
1	56739741	1	57387466
1	56970016	1	57038086
1	57020115	1	91960970
1	57034036	15	5311401
1	57414957	1	57665217
1	57585598	1	90878159
1	57728214	1	57754144
1	57731089	1	76064239
1	57784187	1	58171084
1	57808329	1	57919675
1	57984454	1	57991681
1	58091897	1	97275001
1	58096287	1	80137311
1	58264813	1	58291848
1	58271149	1	91273634
1	58427878	2	17492730
1	58427878	4	40796577
1	58473689	4	87718828
1	58485941	2	17732563
1	58551365	1	58617400
1	58575192	1	58579055
1	58586851	4	87792495
1	58625310	4	87861205
1	58625309	2	18076605
1	58646462	1	58690604
1	58657956	1	58692173
1	58734616	1	80377605
1	58782464	1	60934733
1	58817488	1	59536299
1	58925196	17	51462524
1	58959076	1	59730010
1	58966949	1	59669525
1	59102157	1	129176413
1	59238341	1	59243474
1	59272526	1	59309444
1	59292261	1	59300736
1	59346627	1	80437350
1	59392562	1	59395943
1	59454395	1	167384310
1	59675424	1	59695976
1	59694271	1	62038945
1	59833819	19	43981738
1	59977422	1	97470473
1	60113610	1	135691248
1	60113609	1	66943011
1	60125443	1	60389172
1	60142320	1	129805598
1	60178367	1	60371159
1	60265709	1	64232409
1	60275826	9	60933524
1	60297741	1	60665512
1	60338734	1	60458615
1	60358779	1	60436709
1	60458615	15	77643107
1	60511998	1	63995732
1	60554677	1	60826775
1	60584292	9	106600394
1	60609606	1	60770676
1	60646567	9	46713322
1	60672559	15	77761311
1	60674427	1	60698717
1	60684753	1	60721234
1	60763991	15	75797252
1	60852546	1	60917941
1	60880925	9	50499029
1	60946519	1	60982996
1	61000557	1	61221030
1	61004216	2	61136594
1	61085767	9	5285975
1	61096623	1	61435690
1	61243380	1	61251974
1	61306082	1	61308377
1	61379662	9	46012913
1	61380342	1	61394980
1	61435689	1	62040101
1	61501413	1	61503077
1	61521292	1	61669431
1	61533612	9	45935666
1	61676133	1	61689608
1	61678150	1	61678699
1	61743853	1	62930725
1	61816091	1	62223249
1	61837959	1	62622701
1	61856025	1	62080338
1	61925872	1	61932864
1	61967280	1	61988557
1	61982209	15	62111848
1	62223249	1	63119005
1	62441198	1	62444554
1	62465746	1	63074047
1	62501338	1	70003805
1	62507732	15	33277135
1	62562864	15	38430091
1	62563353	1	64593016
1	62578019	15	33257472
1	62659521	1	62673311
1	62684511	15	34096343
1	62781377	1	62831182
1	62781376	1	62870655
1	62785030	1	63193396
1	62810126	1	98765327
1	62817418	1	62860330
1	62860330	15	28245653
1	62940484	2	155667009
1	63023154	15	58195309
1	63255668	1	78645929
1	63258050	1	63260262
1	63292488	1	78410661
1	63314963	1	72685840
1	63483230	1	72057902
1	63496042	1	63505559
1	63514510	1	63884413
1	63674782	1	64461119
1	63752685	1	63761338
1	63912889	1	63988519
1	64108071	1	64253311
1	64268879	9	46679426
1	64268878	1	64284762
1	64624334	2	118899659
1	64643275	2	118904046
1	64706766	1	88308290
1	65072334	1	67198599
1	65095446	1	66570256
1	65191529	1	65439975
1	65200659	1	66983971
1	65204723	1	65211790
1	65289139	1	80097024
1	65342125	1	69964344
1	65350905	1	69897141
1	65482043	1	73109084
1	65605839	1	73562327
1	65618982	1	114586133
1	65682799	1	75639474
1	65712885	1	113807108
1	65804813	1	114242441
1	65844101	1	65846340
1	65898665	1	119075727
1	65981654	1	66013692
1	66013691	1	66014152
1	66013691	1	102574375
1	66014152	1	100337992
1	66153220	1	103049395
1	66263893	1	81597459
1	66328714	1	77805349
1	66361517	1	66362262
1	66378080	1	76027694
1	66379428	1	66439824
1	66394130	1	66396346
1	66555849	1	92609597
1	66586678	1	67089645
1	66705400	1	135847860
1	66797476	1	91834049
1	66830304	1	97437108
1	67000000	1	77395707
1	67029998	1	81050812
1	67089646	1	67219941
1	67124253	1	68870106
1	67273357	1	67390252
1	67390251	1	123654581
1	67491674	1	67599918
1	67530159	19	44848625
1	67674114	1	129876405
1	67680351	1	67686667
1	67688138	1	84335595
1	67807914	1	94874214
1	67810717	1	96898983
1	67941712	1	104884543
1	67982536	1	68017215
1	67985142	19	44842888
1	68045782	1	104959259
1	68114415	1	84395856
1	68157273	16	61232539
1	68191140	16	48002496
1	68200448	1	81756923
1	68212709	1	68213452
1	68243210	1	81845048
1	68276297	1	70397411
1	68365526	1	69157452
1	68493386	1	81647039
1	68522186	1	73688917
1	68680550	1	68710270
1	68810778	1	68881390
1	68818936	1	68819823
1	68879402	1	75868663
1	68964047	1	70664339
1	68989460	1	90662400
1	69161233	1	69483258
1	69291361	1	69424804
1	69329833	1	84201339
1	69339093	1	80465789
1	69383819	1	79777317
1	69396499	19	45008133
1	69509554	1	90270152
1	69696328	16	62921418
1	69737306	2	59471036
1	69897700	1	69975965
1	69945664	19	44676325
1	69974971	1	119622402
1	69980632	9	46549268
1	70326226	9	46557744
1	70461852	1	89247277
1	70476228	1	121021718
1	70484580	1	76130287
1	70490313	1	77357226
1	70515498	1	78412295
1	70648180	1	78422398
1	70835881	15	35631907
1	70878488	1	83147076
1	70893079	1	70897395
1	70939833	1	70970995
1	70991904	1	84499354
1	71121493	1	73906871
1	71308678	1	78207948
1	71314452	1	78218305
1	71334897	1	77228610
1	71338044	1	77655186
1	71350478	1	71351776
1	71482434	1	75993562
1	71630526	1	71635480
1	71673738	1	72103589
1	71680507	1	71681069
1	71687004	1	79517482
1	71806894	1	79902709
1	71841863	1	79995602
1	71955919	1	74109616
1	72133786	1	73683489
1	72136320	1	73672864
1	72137390	1	72139902
1	72198932	1	79909493
1	72247580	1	79386610
1	72317300	15	99743067
1	72347594	15	57985922
1	72397103	1	83076162
1	72402261	1	93343642
1	72403193	1	93354354
1	72454327	1	101703572
1	72474567	1	79367640
1	72537545	1	96973561
1	72616727	1	83077381
1	72616726	1	73715591
1	72704469	1	72709571
1	72772143	15	60666807
1	72788620	15	28148418
1	72800534	1	73677449
1	72805856	15	13116775
1	72837581	1	72843769
1	72930517	1	72943847
1	72930516	15	60262472
1	72983030	15	60651495
1	73201424	1	73333983
1	73412282	1	73414624
1	73570411	1	79984796
1	73965998	1	78176833
1	73980004	15	78266997
1	74024582	1	81888119
1	74058597	1	78231377
1	74134051	1	83084832
1	74276964	1	74379624
1	74293914	1	74454781
1	74481244	1	90960833
1	74491161	1	74535354
1	74558307	2	156000683
1	74599126	1	74600928
1	74635031	1	74645350
1	74638428	16	32146295
1	74708294	1	74782205
1	74721293	1	74734022
1	74787105	1	75082330
1	74871014	1	104960577
1	74966382	1	104514170
1	74981003	1	102164638
1	74999695	1	75001240
1	75010866	1	75094945
1	75032188	1	75284029
1	75076571	1	75341725
1	75235867	1	75241041
1	75271711	1	75274086
1	75507356	1	75508891
1	75668013	1	76375348
1	75731368	1	75731961
1	75759592	1	82936816
1	75809679	1	78028939
1	75903174	1	77962459
1	75930875	1	76977951
1	75932983	1	76723274
1	76006993	1	92476405
1	76039768	1	96801021
1	76110565	1	76296127
1	76192217	1	76651467
1	76247718	1	115034315
1	76267063	1	115207968
1	76274408	1	84723388
1	76279223	1	84719401
1	76323022	1	96395828
1	76356323	16	51746895
1	76357099	1	115368435
1	76626807	1	116996098
1	76706854	15	79921356
1	76748780	1	101508578
1	76861433	1	116056508
1	76932516	1	129544218
1	76948005	1	116038210
1	76985131	1	116022142
1	77158615	1	129174283
1	77221383	1	77237436
1	77228611	1	78901619
1	77260873	16	82820965
1	77374610	1	114642746
1	77395707	1	77448556
1	77461174	1	77463134
1	77487860	1	78100220
1	77495533	1	77615958
1	77541856	1	92984917
1	77605264	1	77693728
1	77613454	1	121122690
1	77660830	1	78101705
1	77753754	1	78002532
1	77767804	1	79224057
1	78100221	1	78101706
1	78105484	1	78140666
1	78105483	1	78341564
1	78130423	2	150207252
1	78132726	1	78945310
1	78189411	16	13835847
1	78482993	19	44698680
1	78498772	19	44924607
1	78725032	1	137490571
1	78889369	1	78898963
1	79136782	1	79892667
1	79159317	1	79162139
1	79187058	1	79191160
1	79202350	1	101409651
1	79223740	1	101364033
1	79410287	1	122219601
1	79440293	1	79984795
1	79640321	16	35791161
1	79658588	1	82972106
1	79872678	1	80467020
1	79926125	1	80015025
1	79930353	1	137743172
1	80327729	15	98843943
1	80331897	1	80356237
1	80373173	1	80376546
1	80438580	15	99634044
1	80445300	1	178873202
1	80580970	15	99446723
1	80633871	9	48190942
1	80662187	1	95339606
1	80674503	1	123194748
1	80754385	1	80764485
1	80805108	1	80807182
1	80821633	15	99176154
1	80864380	15	98917061
1	80959965	1	128543156
1	80965335	1	95901819
1	81036699	1	123152099
1	81043205	1	128277865
1	81115081	1	81138913
1	81189833	1	98305996
1	81366862	1	98051930
1	81641231	1	111073910
1	81742692	1	98300034
1	81890097	1	82252768
1	81908226	16	83152823
1	81971839	1	81972234
1	81998438	1	82442248
1	82055439	15	99323540
1	82077247	1	97020006
1	82116114	15	99213761
1	82144827	15	99322778
1	82193448	1	100991101
1	82256760	1	106202521
1	82288655	1	103047417
